fecha,precipitacion_mm,evaporacion_mm,temp_max_c,temp_min_c,estacion,estacion_id,latitud,longitud,altitud_msnm,severidad,tipo_evento
1966-08-25,23.5,,39.5,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1966-08-29,1.0,,35.5,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1966-09-05,3.7,,41.5,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1966-09-11,1.7,5.6,38.0,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1966-09-27,20.0,9.1,37.0,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1966-09-28,9.9,1.9,34.5,21.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1966-10-03,1.7,6.0,31.5,19.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1966-10-04,5.0,2.8,28.0,20.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1966-12-30,2.5,2.2,17.0,1.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1966-12-31,3.0,1.8,18.0,6.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-06-30,1.5,5.6,41.5,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-05,5.0,9.6,37.0,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-09,4.2,8.9,41.0,27.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-15,1.0,5.6,34.0,30.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-19,1.6,11.0,42.0,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-20,1.7,7.4,41.0,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-22,1.0,5.4,39.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-24,12.5,7.7,41.5,29.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1967-07-25,2.0,8.9,38.5,22.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-07-30,1.7,6.3,41.5,28.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-08-02,8.0,5.9,41.5,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-08-04,9.5,9.8,39.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-08-08,3.0,6.3,41.5,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-08-09,13.5,8.6,38.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1967-08-14,1.0,3.2,39.0,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-08-15,3.0,6.9,38.0,23.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-08-23,23.0,12.6,37.0,22.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1967-08-30,2.0,6.6,38.5,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-08-31,6.0,5.4,35.5,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-09-01,24.5,4.1,28.0,21.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1967-09-14,5.9,6.5,39.0,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-10-01,6.3,6.0,38.0,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-10-02,16.0,4.9,33.0,20.8,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1967-10-11,11.0,6.8,35.5,20.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1967-10-12,1.7,4.2,33.5,18.8,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-10-14,3.0,4.9,32.5,22.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-11-21,11.3,1.7,23.0,13.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1967-11-22,1.5,0.7,20.0,14.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-11-23,5.5,1.1,19.0,16.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-11-24,1.5,1.3,25.0,15.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-11-26,3.2,1.0,20.0,18.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-12-14,16.0,5.4,21.5,12.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1967-12-15,20.0,2.7,10.5,9.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1967-12-17,4.3,9.6,14.0,5.8,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-12-18,3.7,6.3,17.0,10.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1967-12-19,11.5,3.7,18.0,12.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1967-12-20,3.0,2.3,15.0,12.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-01-07,11.1,0.2,13.5,8.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1968-01-26,4.2,1.3,21.0,11.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-02-09,15.5,2.6,16.0,15.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1968-03-10,7.6,6.4,18.0,8.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-04-11,26.0,7.1,31.0,17.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1968-07-03,9.9,7.0,42.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-07-16,75.5,9.1,39.6,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,muy_alta,precipitacion
1968-07-18,3.2,9.0,38.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-07-22,1.1,11.4,36.0,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-07-26,20.0,9.1,36.0,25.2,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1968-07-30,23.5,8.9,41.5,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1968-08-01,3.7,2.9,31.5,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-08-03,9.0,9.7,37.0,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-08-07,8.0,8.0,38.5,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-08-09,4.8,9.9,38.5,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-08-19,3.8,1.8,29.5,25.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-08-27,1.3,7.6,40.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-08-29,1.7,3.4,37.5,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-08-30,4.2,4.3,34.0,25.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-09-15,28.7,6.49,36.0,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1968-10-02,16.9,5.03,37.0,22.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1968-11-13,1.5,4.5,27.5,16.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1968-12-26,1.1,3.66,18.0,8.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-01-14,28.5,0.8,16.0,14.2,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1969-02-12,3.0,2.9,23.5,10.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-02-13,11.3,3.23,13.0,11.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-02-20,6.8,3.47,19.5,7.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-05-04,2.0,4.15,31.0,13.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-07-08,42.3,6.2,37.0,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1969-07-14,6.3,9.7,42.5,30.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-07-16,19.2,5.8,34.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-07-17,1.7,4.1,37.0,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-07-18,26.6,8.6,39.0,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1969-07-21,17.0,11.5,41.5,29.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-07-25,2.7,2.5,33.0,28.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-07-29,13.5,12.7,41.5,28.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-08-02,1.1,11.9,42.5,29.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-08-05,8.8,9.0,40.5,29.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-08-06,11.5,8.0,38.5,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-08-08,31.9,10.0,38.5,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1969-08-10,15.2,4.5,34.0,22.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-08-16,21.0,10.5,39.0,28.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1969-08-26,1.0,3.8,40.0,23.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-08-28,1.9,7.4,38.5,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-09-01,1.7,4.5,41.0,27.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-09-10,2.2,6.4,34.5,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-09-13,15.3,3.5,37.5,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-10-01,7.1,6.4,38.5,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-11-15,4.5,4.4,29.0,17.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-11-16,8.5,2.9,25.0,17.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-12-02,19.7,4.3,24.0,14.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1969-12-03,2.5,1.6,20.0,15.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-12-27,6.7,4.6,20.0,11.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1969-12-28,3.5,1.4,10.5,8.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-01-12,2.8,2.9,23.5,7.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-03-01,3.3,3.4,26.0,14.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-03-05,1.2,2.7,20.0,8.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-04-16,4.1,4.9,31.0,16.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-04-17,1.4,7.7,33.0,16.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-05-25,1.2,6.6,34.5,21.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-06-30,23.4,10.0,40.0,25.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1970-07-02,1.4,12.0,41.0,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-07-03,1.9,10.8,39.0,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-07-15,28.0,10.0,43.0,29.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1970-07-16,1.5,16.3,38.0,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-07-17,17.0,15.7,42.5,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1970-07-19,31.5,12.1,38.0,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1970-07-26,13.0,11.0,39.0,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1970-07-27,2.8,7.8,38.5,22.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-07-30,1.6,12.9,42.0,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-08-07,4.0,8.5,37.0,28.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-08-09,1.2,6.6,40.5,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-08-10,5.1,4.9,38.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-08-15,11.3,7.7,41.0,27.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1970-08-21,1.0,11.6,41.5,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-08-23,2.9,7.9,41.5,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-08-24,31.9,9.7,38.5,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1970-09-03,27.6,12.7,36.5,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1970-09-04,6.7,9.7,30.0,23.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1970-09-05,21.7,12.9,34.0,24.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1970-09-06,23.5,7.4,31.0,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1971-02-24,1.5,1.4,19.0,8.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-06-12,1.6,6.3,37.5,19.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-07-05,8.0,8.9,41.0,28.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-07-11,18.5,9.5,43.5,28.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1971-07-14,5.0,8.1,36.5,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-07-16,24.8,11.5,39.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1971-07-18,5.0,10.6,40.5,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-07-21,1.5,8.0,38.5,27.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-07-25,1.1,10.4,39.0,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-07-27,11.5,8.8,40.5,25.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1971-07-28,1.9,6.0,38.0,21.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-01,14.0,7.0,43.0,27.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1971-08-06,10.7,6.2,41.5,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1971-08-08,4.5,2.4,39.0,26.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-09,41.0,7.9,37.0,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1971-08-10,4.7,10.4,35.0,20.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-11,86.7,8.6,33.5,23.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,muy_alta,precipitacion
1971-08-12,20.5,3.2,30.0,21.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,alta,precipitacion
1971-08-13,5.2,6.1,34.0,22.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-15,1.0,6.1,36.5,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-16,3.2,3.8,36.0,24.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-17,5.0,3.0,31.5,23.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-19,3.5,3.8,35.5,23.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-20,4.5,3.5,34.0,23.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-08-27,4.0,7.6,39.5,26.5,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-09-02,6.2,6.1,37.5,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
1971-09-09,18.0,7.5,41.0,27.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,moderada,precipitacion
1971-09-16,1.7,4.5,38.0,25.0,HERMOSILLO II (DGE),26139,29.09888889,-110.9541667,221,baja,precipitacion
